age,job,marital,education,default,balance,housing,loan,duration
58,services,married,secondary,no,12180,no,no,121
37,services,married,secondary,no,3321,no,no,215
50,blue-collar,divorced,primary,no,4882,yes,no,320
46,entrepreneur,married,secondary,no,757,no,no,382
37,management,single,tertiary,no,400,yes,no,244
41,admin.,married,tertiary,no,1287,no,no,286
51,self-employed,married,tertiary,no,2007,no,no,1021
40,admin.,married,secondary,no,538,no,no,167
51,management,single,secondary,no,1610,yes,no,1248
55,management,divorced,tertiary,no,25,no,no,404
47,technician,married,tertiary,yes,-813,yes,yes,179
39,technician,single,secondary,no,2321,no,yes,203
38,management,married,tertiary,no,-469,yes,no,209
59,retired,married,primary,no,0,no,no,39
38,services,married,secondary,no,1559,no,no,162
39,management,married,secondary,no,2198,no,no,418
36,management,single,tertiary,no,317,no,no,348
49,technician,married,secondary,no,775,yes,no,135
36,housemaid,married,tertiary,yes,-1941,yes,no,505
53,technician,single,secondary,yes,-435,yes,yes,131
37,housemaid,married,secondary,no,285,no,no,401
45,technician,married,tertiary,no,533,yes,no,332
46,blue-collar,married,tertiary,no,993,yes,no,78
55,technician,married,tertiary,no,4359,no,no,394
50,blue-collar,married,secondary,no,887,no,no,287
37,services,married,secondary,no,1092,no,no,266
55,technician,married,unknown,no,0,no,no,153
55,entrepreneur,divorced,primary,no,29,no,no,500
39,admin.,married,primary,no,237,no,no,215
48,unknown,married,unknown,no,3940,no,no,298
35,admin.,married,secondary,no,5270,no,no,110
35,admin.,single,primary,no,2355,yes,no,101
39,self-employed,single,tertiary,no,0,no,no,13
53,blue-collar,married,primary,no,4641,no,no,356
39,admin.,divorced,secondary,no,952,yes,no,62
37,admin.,married,secondary,no,306,no,no,73
38,services,divorced,secondary,no,439,no,no,50
58,entrepreneur,married,secondary,no,2,no,no,684
35,blue-collar,single,primary,no,3751,no,no,193
50,blue-collar,married,unknown,no,0,no,no,599
37,services,single,secondary,no,1175,yes,no,92
56,admin.,single,secondary,no,-13,no,no,52
59,blue-collar,married,primary,no,416,no,no,92
42,blue-collar,single,primary,no,50,no,no,294
39,housemaid,married,primary,no,15352,no,no,99
58,blue-collar,married,primary,no,96,no,no,76
30,services,married,secondary,no,384,yes,no,27
59,retired,married,primary,no,1085,no,no,191
43,blue-collar,married,primary,no,8014,no,no,523
39,services,single,secondary,no,1336,yes,no,358
53,retired,married,secondary,no,136,no,no,254
43,management,married,tertiary,no,0,no,no,46
43,services,divorced,unknown,no,159,no,no,112
50,housemaid,married,primary,no,4,no,no,51
35,admin.,married,secondary,no,4698,yes,no,359
47,admin.,married,secondary,no,4307,no,no,88
52,blue-collar,divorced,primary,no,1250,no,no,342
44,technician,married,secondary,no,0,no,no,78
51,blue-collar,married,secondary,no,33,no,yes,721
57,technician,divorced,secondary,no,145,no,yes,420
52,blue-collar,married,secondary,no,167,no,no,163
47,blue-collar,married,secondary,no,214,yes,no,442
59,services,married,primary,no,31,no,no,41
50,management,married,tertiary,no,3191,no,no,535
37,admin.,single,tertiary,no,12581,no,no,155
53,entrepreneur,divorced,tertiary,no,196,yes,no,178
36,admin.,married,secondary,no,1295,no,no,232
39,blue-collar,married,primary,no,4608,yes,no,36
41,blue-collar,married,secondary,no,-100,yes,no,20
35,blue-collar,married,secondary,no,-281,yes,no,15
50,entrepreneur,married,tertiary,no,2198,no,no,170
41,entrepreneur,married,tertiary,no,373,no,no,87
45,management,married,tertiary,no,203,no,no,202
38,admin.,single,secondary,no,439,no,no,359
42,admin.,married,secondary,no,3165,yes,no,298
53,blue-collar,married,secondary,no,1093,yes,yes,244
35,blue-collar,married,unknown,no,75,yes,no,169
46,technician,married,secondary,no,536,yes,no,750
44,admin.,married,secondary,no,1696,no,no,139
49,blue-collar,single,unknown,no,2222,no,no,114
35,technician,single,tertiary,no,756,yes,no,14
49,management,married,tertiary,no,2005,no,no,81
37,entrepreneur,married,tertiary,no,264,yes,yes,220
40,services,married,unknown,no,4075,yes,no,162
47,blue-collar,married,secondary,no,4840,no,no,53
55,housemaid,married,primary,no,3680,no,no,131
53,self-employed,married,tertiary,no,2627,yes,yes,18
55,management,married,tertiary,no,0,no,no,607
37,blue-collar,single,secondary,no,3764,no,no,431
54,technician,divorced,unknown,no,1725,no,no,216
53,services,single,secondary,no,725,yes,no,227
28,blue-collar,single,secondary,no,235,yes,no,102
42,blue-collar,married,primary,no,1752,yes,no,19
38,management,single,tertiary,no,93,yes,yes,394
38,management,married,tertiary,no,7124,no,no,301
37,admin.,married,tertiary,no,2741,no,no,204
47,blue-collar,married,primary,no,667,no,no,54
42,housemaid,married,unknown,no,72,no,no,22
38,admin.,married,secondary,no,1116,yes,yes,406
44,management,married,tertiary,no,647,no,no,226
54,technician,single,unknown,no,1695,no,no,168
35,services,married,unknown,no,2,no,no,221
51,admin.,married,secondary,no,-192,no,no,176
41,blue-collar,married,primary,no,389,yes,no,127
46,housemaid,married,unknown,no,1035,no,no,703
36,admin.,single,secondary,no,16,no,no,119
41,management,divorced,secondary,no,0,no,no,126
49,blue-collar,married,unknown,no,3096,no,no,147
39,blue-collar,married,primary,no,4166,no,no,314
39,technician,married,secondary,no,94,no,no,182
39,technician,divorced,tertiary,no,1832,no,no,353
60,retired,single,primary,no,470,no,no,100
40,management,married,tertiary,no,270,no,no,362
51,blue-collar,married,primary,no,5050,no,yes,75
49,entrepreneur,married,tertiary,no,388,yes,no,142
37,management,married,tertiary,no,0,no,no,637
56,entrepreneur,married,secondary,no,535,yes,yes,345
54,retired,married,primary,no,1156,no,no,64
45,housemaid,married,primary,no,938,no,no,103
39,housemaid,married,tertiary,no,240,yes,no,17
36,entrepreneur,married,tertiary,no,3057,no,no,2769
39,management,married,tertiary,no,-1212,yes,no,26
33,self-employed,married,tertiary,no,6,no,no,141
42,technician,single,tertiary,no,671,yes,no,14
58,unemployed,single,primary,no,278,no,no,1009
36,blue-collar,single,primary,no,736,yes,no,323
41,entrepreneur,married,primary,no,0,no,no,630
51,housemaid,married,primary,no,108,no,no,278
55,blue-collar,married,primary,no,835,yes,no,40
48,blue-collar,single,primary,no,1080,yes,no,112
36,technician,married,tertiary,no,579,yes,no,80
42,management,married,secondary,no,2580,yes,no,154
54,unknown,married,secondary,no,1241,no,no,97
40,admin.,married,secondary,no,0,no,no,368
39,management,married,secondary,no,2445,no,no,303
54,technician,married,tertiary,no,417,yes,no,375
45,management,married,tertiary,no,1847,no,no,77
57,admin.,divorced,primary,no,987,no,no,295
57,management,divorced,unknown,no,0,no,no,335
58,management,divorced,primary,no,5914,no,no,69
38,entrepreneur,married,secondary,no,-272,no,yes,143
36,technician,single,tertiary,no,0,no,no,153
51,admin.,married,secondary,no,2967,no,no,83
56,management,married,tertiary,no,21664,no,no,214
46,management,single,primary,no,538,no,no,118
31,technician,married,secondary,no,-720,yes,no,638
30,self-employed,divorced,secondary,no,92,yes,no,78
58,management,married,primary,no,1136,no,no,65
36,management,married,tertiary,no,0,no,no,222
35,self-employed,married,tertiary,no,333,no,no,78
37,services,single,secondary,no,105,no,yes,260
49,blue-collar,married,secondary,no,-55,no,no,150
38,blue-collar,married,primary,no,1262,no,no,49
30,self-employed,married,secondary,no,421,yes,yes,62
34,management,married,primary,no,2026,yes,no,100
55,blue-collar,married,primary,no,2896,no,no,138
56,blue-collar,married,primary,no,1046,no,yes,329
44,management,married,tertiary,no,3091,yes,no,331
37,housemaid,single,primary,no,1088,no,no,131
50,blue-collar,married,unknown,no,1537,no,no,24
45,blue-collar,married,primary,no,866,no,no,319
58,self-employed,married,secondary,no,372,no,no,315
38,technician,married,secondary,no,403,yes,yes,99
35,management,single,tertiary,no,1374,no,no,45
38,services,married,secondary,no,1313,no,no,33
49,entrepreneur,married,secondary,no,27,no,no,131
50,management,married,tertiary,no,0,no,no,117
39,blue-collar,married,primary,no,2169,no,no,170
45,housemaid,married,secondary,no,698,yes,no,160
48,blue-collar,married,primary,no,0,no,no,104
55,retired,married,secondary,no,466,no,no,287
37,services,single,tertiary,no,718,no,no,43
55,technician,married,primary,no,1498,no,yes,345
39,admin.,single,tertiary,no,2600,yes,no,77
50,retired,married,primary,no,1098,no,no,168
59,retired,married,primary,no,0,no,no,192
39,blue-collar,married,secondary,no,123,no,no,110
50,retired,married,secondary,no,0,yes,yes,328
38,technician,single,tertiary,no,2496,no,no,193
52,technician,married,unknown,no,562,no,no,187
43,housemaid,single,primary,no,103,no,no,198
35,services,single,secondary,no,361,no,no,256
41,technician,married,secondary,no,1385,no,no,145
41,management,married,tertiary,no,676,no,no,78
37,blue-collar,married,secondary,no,426,no,no,285
41,technician,married,secondary,no,130,no,no,160
60,management,married,primary,no,0,no,no,442
48,admin.,single,secondary,no,-58,no,no,123
55,technician,married,tertiary,no,2512,yes,no,166
61,retired,married,secondary,no,296,no,no,18
54,blue-collar,single,unknown,no,6622,no,no,83
49,management,married,tertiary,no,391,no,no,128
39,blue-collar,married,primary,no,1564,no,no,57
48,blue-collar,married,primary,no,1670,no,no,145
42,entrepreneur,married,tertiary,no,1654,no,no,116
37,technician,single,secondary,no,984,no,no,475
47,unemployed,married,secondary,no,3287,yes,yes,126
50,admin.,married,secondary,yes,-437,yes,yes,83
49,services,married,secondary,no,494,no,no,196
41,management,married,tertiary,no,1234,no,no,68
48,admin.,single,primary,no,1078,no,no,75
35,blue-collar,married,secondary,no,402,no,yes,123
55,management,single,tertiary,no,854,yes,yes,98
43,management,married,tertiary,no,438,no,no,355
53,retired,married,secondary,no,1296,yes,no,115
39,admin.,married,secondary,no,1891,no,no,147
57,retired,married,primary,no,7938,no,no,133
34,blue-collar,single,primary,no,2040,no,no,509
52,entrepreneur,married,primary,no,2138,no,no,134
60,blue-collar,married,primary,no,686,yes,no,147
57,retired,married,primary,no,5799,no,no,97
36,admin.,single,secondary,no,810,yes,no,296
42,entrepreneur,married,tertiary,no,1068,yes,no,70
37,services,single,secondary,no,3,no,no,527
55,housemaid,divorced,primary,no,2014,no,no,156
36,self-employed,single,secondary,no,652,no,no,187
50,blue-collar,married,primary,no,2190,no,no,269
45,retired,divorced,secondary,no,1735,no,yes,306
47,management,married,secondary,no,2892,no,no,556
43,management,married,tertiary,no,439,no,no,71
39,self-employed,married,secondary,no,4722,yes,no,483
45,management,single,tertiary,no,451,no,no,881
59,retired,divorced,primary,no,2516,no,no,404
46,housemaid,divorced,primary,no,2291,no,no,218
48,management,married,tertiary,no,2837,no,no,69
59,housemaid,divorced,secondary,no,0,no,no,98
36,blue-collar,married,secondary,no,7265,no,no,243
44,blue-collar,married,primary,no,-82,no,yes,181
45,blue-collar,married,primary,no,4696,no,no,99
41,blue-collar,married,secondary,no,475,yes,no,139
46,unknown,married,tertiary,no,5837,no,no,71
35,technician,married,unknown,no,3,yes,yes,124
48,technician,married,secondary,no,335,no,no,214
60,retired,single,tertiary,no,568,no,no,81
38,services,married,primary,no,175,no,no,132
49,retired,single,primary,no,25824,no,no,94
57,housemaid,married,primary,no,1870,no,no,129
44,housemaid,married,tertiary,no,460,no,no,491
55,management,married,primary,no,1446,no,no,135
46,housemaid,married,primary,no,17,no,no,72
55,blue-collar,married,primary,no,0,no,no,285
47,blue-collar,married,primary,no,145,no,no,255
38,blue-collar,married,primary,no,6091,no,no,189
38,services,married,secondary,no,250,no,no,72
42,entrepreneur,single,tertiary,no,231,no,no,241
45,blue-collar,married,secondary,no,530,no,yes,705
39,self-employed,divorced,tertiary,no,1415,no,no,134
46,management,married,secondary,no,5559,no,no,483
36,blue-collar,married,primary,no,214,no,no,423
53,housemaid,single,primary,no,1238,no,no,23
38,admin.,married,secondary,no,505,yes,yes,48
55,retired,divorced,primary,no,925,no,no,254
47,technician,divorced,secondary,no,431,no,yes,388
53,housemaid,married,secondary,no,1060,no,no,107
56,retired,divorced,secondary,no,4,no,no,135
37,self-employed,single,tertiary,no,1116,no,no,184
42,services,divorced,unknown,no,651,no,no,61
39,technician,single,secondary,no,2910,yes,no,157
58,blue-collar,married,primary,no,73,no,no,116
56,blue-collar,married,primary,no,0,no,no,82
51,housemaid,divorced,primary,no,336,no,no,105
47,unknown,married,unknown,no,1728,no,no,98
37,blue-collar,single,secondary,no,5818,no,no,652
58,technician,married,secondary,no,592,no,no,206
59,technician,married,secondary,no,4322,no,no,174
40,technician,divorced,tertiary,no,0,no,no,522
51,blue-collar,married,primary,no,1869,no,no,30
50,management,single,primary,no,766,no,no,174
38,blue-collar,married,secondary,no,5092,yes,no,145
55,blue-collar,married,primary,no,11,no,no,150
48,management,divorced,tertiary,no,4961,yes,no,64
38,blue-collar,married,primary,no,246,no,no,91
40,admin.,married,primary,no,0,yes,no,77
40,admin.,married,secondary,no,35,no,no,78
58,blue-collar,married,secondary,no,544,no,no,97
39,management,married,tertiary,no,2043,yes,no,85
39,management,married,tertiary,no,1191,no,no,139
43,entrepreneur,divorced,tertiary,no,1756,no,no,89
38,blue-collar,married,secondary,no,702,no,no,92
36,blue-collar,single,primary,no,2491,no,yes,168
58,retired,divorced,secondary,no,0,no,no,436
53,blue-collar,married,secondary,no,1653,no,no,88
35,blue-collar,single,secondary,no,507,no,no,43
46,unknown,single,secondary,no,0,no,no,156
42,blue-collar,married,secondary,no,193,yes,no,171
52,services,married,secondary,no,517,yes,no,180
40,entrepreneur,married,secondary,no,780,yes,no,163
46,blue-collar,married,secondary,no,1270,yes,no,277
51,blue-collar,married,primary,no,48,no,yes,130
48,blue-collar,married,secondary,no,1562,no,no,50
39,blue-collar,married,secondary,no,679,yes,no,341
44,management,divorced,tertiary,no,1467,no,no,49
44,blue-collar,married,secondary,no,1678,yes,no,120
37,housemaid,married,secondary,no,942,no,no,79
45,blue-collar,married,secondary,no,521,yes,no,259
44,management,married,primary,no,2276,yes,no,321
35,technician,single,tertiary,no,5251,yes,no,176
53,technician,divorced,secondary,no,305,no,yes,192
45,housemaid,married,primary,no,3,yes,yes,128
35,admin.,married,secondary,yes,76,no,yes,107
37,housemaid,divorced,primary,no,608,no,no,108
36,management,married,tertiary,no,531,yes,no,187
39,blue-collar,single,primary,no,1522,no,no,164
55,self-employed,married,secondary,no,39,no,no,20
38,blue-collar,divorced,secondary,no,2641,no,no,67
35,technician,married,secondary,no,1255,no,no,445
37,blue-collar,married,secondary,no,647,yes,no,41
36,management,married,secondary,no,1989,no,no,344
51,blue-collar,divorced,primary,no,886,no,no,167
38,blue-collar,single,tertiary,no,18,no,no,605
36,admin.,single,tertiary,no,1568,no,no,433
51,housemaid,married,primary,no,1382,no,no,226
43,blue-collar,married,primary,no,103,yes,no,179
48,management,single,tertiary,no,1437,yes,yes,34
45,housemaid,married,primary,yes,0,no,yes,161
46,services,married,secondary,no,0,no,no,77
42,blue-collar,married,unknown,no,524,no,no,220
60,housemaid,married,primary,no,352,no,yes,81
56,management,divorced,secondary,no,278,yes,no,269
42,self-employed,married,tertiary,no,753,no,no,31
40,blue-collar,married,primary,no,-158,yes,yes,59
43,self-employed,married,secondary,no,104,no,no,332
39,management,single,secondary,no,1103,no,no,24
58,self-employed,married,primary,no,671,yes,no,16
38,unemployed,divorced,secondary,no,258,no,no,88
53,blue-collar,married,primary,no,1100,yes,no,714
46,blue-collar,married,secondary,no,7,no,no,110
54,retired,single,secondary,no,515,yes,no,205
44,blue-collar,married,primary,no,711,no,no,291
48,services,married,secondary,no,7434,no,no,986
40,self-employed,married,tertiary,no,1603,no,no,279
33,self-employed,divorced,secondary,no,969,yes,no,166
36,admin.,single,secondary,no,787,no,no,92
49,retired,divorced,primary,no,150,no,no,254
32,services,single,secondary,no,914,yes,no,236
40,management,married,secondary,no,752,no,yes,717
36,blue-collar,divorced,primary,no,553,no,no,19
37,entrepreneur,single,secondary,no,926,no,no,93
50,management,married,tertiary,no,557,yes,no,200
38,blue-collar,married,unknown,no,5830,no,no,176
50,housemaid,married,tertiary,no,6181,no,no,1162
56,management,divorced,tertiary,no,4266,yes,no,490
38,technician,single,tertiary,no,110,no,no,1051
59,management,divorced,tertiary,no,0,no,no,437
52,housemaid,divorced,secondary,no,334,yes,no,422
59,retired,married,secondary,no,3,no,no,1199
44,housemaid,married,primary,no,3706,no,no,209
55,entrepreneur,married,secondary,no,5838,no,no,115
37,unemployed,married,secondary,no,830,no,no,292
40,blue-collar,married,primary,no,-616,yes,no,370
44,technician,divorced,secondary,no,268,no,no,108
35,blue-collar,married,unknown,no,53,no,no,495
59,retired,married,secondary,no,2703,no,yes,249
38,student,single,tertiary,no,3316,no,no,1345
41,blue-collar,married,primary,no,402,no,no,114
50,blue-collar,divorced,primary,no,608,yes,no,107
46,entrepreneur,married,tertiary,no,120,no,no,171
41,services,married,secondary,no,1483,yes,no,66
57,entrepreneur,married,secondary,no,926,no,no,447
57,services,married,secondary,no,2745,yes,no,167
35,entrepreneur,single,tertiary,no,-49,no,no,668
55,services,married,secondary,no,752,no,no,204
42,student,married,unknown,no,2374,no,no,158
36,services,single,secondary,no,99,no,no,256
40,management,married,secondary,no,106,no,no,676
36,technician,married,tertiary,no,404,no,no,63
39,blue-collar,married,secondary,no,2239,no,no,133
37,management,married,tertiary,no,1170,no,yes,153
38,management,married,tertiary,no,12877,no,no,118
31,services,married,secondary,no,440,yes,no,117
40,blue-collar,married,secondary,no,1318,yes,no,681
36,entrepreneur,divorced,secondary,no,251,no,no,59
39,self-employed,married,secondary,no,1317,no,no,42
36,self-employed,married,tertiary,no,4515,yes,no,408
49,admin.,married,secondary,no,652,no,yes,127
48,admin.,married,secondary,no,306,no,yes,314
48,management,divorced,secondary,no,720,yes,no,277
40,housemaid,married,primary,no,322,no,no,140
30,services,married,unknown,no,4471,yes,no,424
48,management,married,tertiary,no,6613,no,no,159
39,blue-collar,married,primary,no,2303,yes,no,775
44,blue-collar,single,primary,no,99,no,no,187
34,technician,single,secondary,no,-269,yes,no,102
60,management,married,tertiary,no,3301,no,no,2621
53,blue-collar,single,primary,no,354,yes,no,96
37,self-employed,single,tertiary,no,556,no,no,200
56,entrepreneur,divorced,tertiary,no,22946,no,no,75
32,services,single,secondary,no,1364,yes,yes,85
49,unemployed,married,secondary,no,4110,no,no,50
56,blue-collar,married,secondary,no,2409,no,no,173
47,admin.,married,secondary,no,726,no,no,60
48,technician,married,secondary,no,178,yes,no,320
38,blue-collar,married,primary,no,265,no,no,854
36,housemaid,married,primary,no,758,no,no,236
43,housemaid,single,primary,no,1354,no,no,183
55,admin.,divorced,secondary,no,0,no,no,76
39,technician,married,secondary,no,-184,no,yes,185
59,services,married,primary,no,124,no,no,41
56,retired,married,primary,no,1126,no,no,39
49,unknown,single,tertiary,no,2226,no,no,138
37,services,divorced,secondary,no,9,yes,yes,411
51,technician,married,tertiary,no,1911,yes,yes,394
51,self-employed,divorced,tertiary,no,5244,no,no,266
54,retired,married,secondary,no,1614,yes,no,534
52,services,married,tertiary,no,2801,yes,yes,311
38,unemployed,married,secondary,no,926,no,no,705
54,technician,single,secondary,no,770,no,no,89
58,blue-collar,married,primary,no,5279,yes,no,93
55,self-employed,divorced,secondary,no,148,no,no,847
28,blue-collar,married,primary,no,0,yes,yes,273
46,services,married,primary,no,741,no,no,161
49,technician,married,secondary,no,788,no,no,162
50,admin.,married,primary,no,276,no,yes,641
38,services,divorced,secondary,no,-10,yes,no,61
37,management,single,tertiary,yes,-25,no,no,136
57,housemaid,married,primary,no,0,no,no,187
43,management,married,secondary,no,392,no,no,332
39,entrepreneur,married,secondary,no,156,no,yes,76
37,admin.,divorced,secondary,yes,-302,no,no,406
38,admin.,divorced,secondary,no,156,yes,no,544
36,blue-collar,single,tertiary,no,3649,yes,no,756
38,services,single,unknown,no,1610,yes,no,76
50,services,married,secondary,no,1321,no,no,271
53,retired,married,primary,no,232,yes,yes,203
50,management,single,tertiary,no,267,no,no,338
53,technician,married,unknown,no,619,no,no,198
46,blue-collar,divorced,primary,no,358,no,no,259
36,management,single,tertiary,no,171,no,no,398
55,management,married,tertiary,no,913,no,no,462
59,entrepreneur,divorced,unknown,no,0,no,no,956
58,housemaid,married,primary,no,3957,no,no,76
39,blue-collar,married,primary,no,1551,no,no,264
38,entrepreneur,married,secondary,no,197,no,no,979
43,housemaid,married,secondary,no,618,no,no,89
39,blue-collar,married,primary,no,-119,no,no,135
52,technician,married,secondary,no,1490,no,yes,420
56,blue-collar,married,primary,no,288,no,no,548
36,blue-collar,married,secondary,no,1409,no,no,235
52,technician,married,secondary,no,851,no,no,87
43,technician,married,secondary,no,236,no,no,169
53,housemaid,divorced,secondary,no,120,no,no,343
50,services,divorced,tertiary,no,580,no,no,88
25,technician,single,secondary,no,1116,no,yes,68
36,services,single,secondary,no,398,yes,yes,77
35,blue-collar,married,secondary,no,331,yes,no,116
51,blue-collar,married,primary,no,3942,yes,no,363
38,blue-collar,married,primary,no,7944,no,no,116
54,services,married,secondary,no,468,no,no,207
45,management,married,tertiary,no,3329,no,no,311
36,blue-collar,married,secondary,yes,0,no,yes,138
36,services,married,secondary,no,1981,no,no,48
26,management,single,primary,no,71,no,no,390
51,self-employed,married,primary,no,307,yes,yes,65
52,management,married,tertiary,no,502,no,no,637
46,management,divorced,tertiary,no,25,no,no,564
58,housemaid,divorced,primary,no,57,no,no,117
45,unknown,married,unknown,no,1979,no,no,76
27,blue-collar,single,secondary,no,370,yes,no,128
57,blue-collar,married,primary,no,4073,no,no,193
42,blue-collar,married,primary,no,46,yes,no,130
29,admin.,single,secondary,yes,-95,yes,no,269
52,management,married,tertiary,no,7388,no,yes,291
37,technician,divorced,secondary,no,531,no,no,150
48,management,married,tertiary,no,734,yes,no,1208
37,admin.,married,secondary,no,10465,no,no,144
36,blue-collar,married,secondary,no,2357,yes,no,228
24,technician,single,secondary,no,2355,yes,no,158
35,services,married,tertiary,no,1359,no,no,585
39,management,divorced,secondary,no,51,no,no,334
35,services,married,unknown,no,0,no,no,229
46,retired,divorced,secondary,no,865,no,no,117
57,entrepreneur,divorced,tertiary,no,873,no,no,441
36,blue-collar,single,secondary,no,2596,no,no,60
49,technician,married,secondary,no,662,no,no,47
57,retired,divorced,tertiary,no,5253,no,no,235
36,services,single,secondary,no,9231,no,no,270
44,blue-collar,married,primary,no,0,no,no,192
44,blue-collar,married,secondary,no,0,no,no,26
52,retired,married,secondary,no,424,no,no,89
38,management,single,tertiary,no,0,no,no,61
48,blue-collar,married,primary,no,551,yes,yes,386
51,technician,married,secondary,no,1123,no,no,54
49,housemaid,married,primary,no,434,yes,yes,272
46,blue-collar,married,primary,no,-1,no,no,35
40,technician,married,secondary,no,265,no,no,1365
40,admin.,single,secondary,no,1200,yes,no,284
50,services,married,secondary,no,1134,no,no,53
39,management,divorced,tertiary,no,26,no,no,311
48,admin.,single,secondary,no,1253,yes,no,245
46,unknown,single,primary,no,10,no,no,64
45,admin.,married,secondary,no,231,yes,no,151
46,blue-collar,married,primary,no,557,no,no,89
37,blue-collar,married,secondary,no,1736,no,yes,66
40,self-employed,married,secondary,no,256,no,no,30
55,retired,married,secondary,no,31,no,no,72
42,entrepreneur,divorced,secondary,no,31,no,no,120
28,blue-collar,married,secondary,no,-493,yes,no,126
45,blue-collar,married,secondary,no,103,no,no,48
29,housemaid,married,secondary,no,1104,yes,no,262
52,blue-collar,married,secondary,no,262,no,no,1062
37,services,single,secondary,no,2657,yes,no,295
37,blue-collar,single,secondary,no,415,no,no,203
28,management,single,tertiary,no,2253,yes,no,906
49,management,married,primary,no,1330,no,yes,37
42,services,married,secondary,no,0,no,no,118
42,unknown,single,tertiary,no,2918,no,no,18
51,housemaid,married,primary,no,1093,no,yes,18
54,housemaid,married,primary,no,3151,no,no,350
39,admin.,married,secondary,no,224,no,no,421
51,retired,married,primary,no,67,no,no,835
60,retired,married,primary,no,0,no,no,104
29,blue-collar,married,secondary,no,-565,yes,no,164
38,services,married,secondary,no,2289,no,no,89
39,self-employed,single,tertiary,no,426,no,no,1029
36,blue-collar,married,tertiary,no,9,yes,no,112
55,blue-collar,married,primary,no,1101,no,no,744
36,unemployed,divorced,secondary,no,8267,no,no,321
37,management,married,tertiary,no,223,no,no,24
48,admin.,married,secondary,no,1096,yes,no,213
37,blue-collar,married,primary,no,704,no,no,165
51,management,married,primary,no,192,no,no,129
51,services,divorced,secondary,no,9,no,no,371
36,blue-collar,married,primary,no,1707,no,no,190
27,entrepreneur,married,secondary,no,47,yes,no,114
36,unknown,married,secondary,no,1370,no,no,221
33,management,single,tertiary,no,729,yes,yes,178
58,unemployed,divorced,secondary,no,7798,no,no,247
27,technician,single,secondary,no,629,yes,yes,680
56,blue-collar,married,secondary,no,3760,no,no,243
42,admin.,divorced,secondary,no,0,yes,yes,185
32,services,married,secondary,no,201,yes,no,110
26,admin.,married,secondary,no,416,yes,yes,172
25,services,single,unknown,no,-501,yes,yes,156
39,blue-collar,married,secondary,no,39,yes,no,34
42,blue-collar,single,secondary,no,1279,yes,no,347
37,blue-collar,married,secondary,no,10721,yes,no,394
28,blue-collar,single,secondary,no,975,yes,no,59
29,management,married,tertiary,no,620,yes,no,72
50,admin.,married,secondary,no,311,yes,yes,417
48,management,single,tertiary,no,0,no,no,96
27,admin.,married,secondary,no,-97,yes,no,1528
24,blue-collar,married,secondary,no,0,yes,no,154
48,admin.,single,secondary,no,479,yes,yes,533
46,management,single,tertiary,no,46,no,yes,107
49,technician,single,secondary,no,1202,yes,no,122
48,blue-collar,married,primary,no,363,yes,no,257
44,blue-collar,married,secondary,no,1147,yes,no,23
61,entrepreneur,divorced,secondary,no,369,no,no,82
58,unknown,married,unknown,no,219,no,no,55
43,services,divorced,secondary,no,62,no,no,67
45,housemaid,married,tertiary,no,143,no,no,83
43,admin.,married,unknown,no,3485,no,no,113
58,retired,divorced,primary,no,97,no,no,59
50,housemaid,married,secondary,no,0,no,no,551
43,management,married,tertiary,no,657,no,no,367
59,management,divorced,tertiary,no,1304,no,no,220
56,entrepreneur,single,unknown,no,2351,no,no,15
60,retired,married,secondary,no,1524,no,no,173
58,housemaid,married,primary,no,0,no,no,37
57,blue-collar,married,secondary,no,773,yes,yes,97
42,housemaid,married,secondary,no,197,no,no,199
36,blue-collar,married,secondary,no,2627,yes,no,94
35,admin.,married,secondary,no,165,yes,no,272
37,blue-collar,divorced,secondary,yes,-689,no,no,15
40,technician,married,tertiary,no,397,no,no,50
37,management,married,tertiary,no,11265,no,no,417
55,management,married,secondary,no,5836,no,no,192
36,management,single,tertiary,no,391,no,no,443
37,student,married,unknown,no,0,no,no,115
45,unknown,single,secondary,no,0,no,no,1487
49,blue-collar,married,secondary,no,1743,no,no,68
28,technician,divorced,tertiary,no,594,yes,yes,54
60,retired,divorced,primary,no,1582,no,yes,159
44,blue-collar,married,primary,no,2791,no,no,335
49,technician,married,secondary,no,997,no,no,118
39,entrepreneur,married,tertiary,no,2310,yes,yes,104
37,technician,married,secondary,yes,0,no,no,236
49,management,married,unknown,no,1401,no,no,300
54,housemaid,married,primary,no,5048,no,no,163
48,management,married,tertiary,yes,0,no,yes,103
37,management,divorced,secondary,no,0,yes,no,187
41,management,single,tertiary,no,11008,no,no,1540
49,retired,single,unknown,no,332,no,no,163
46,technician,married,secondary,no,179,no,yes,129
55,blue-collar,married,primary,no,761,no,no,67
38,blue-collar,divorced,secondary,no,889,no,yes,362
42,blue-collar,single,primary,no,4930,no,no,973
42,technician,married,secondary,no,-813,yes,no,36
37,self-employed,single,tertiary,no,2087,no,no,167
60,housemaid,married,primary,no,0,no,no,138
59,retired,married,primary,no,0,no,no,1009
47,retired,married,primary,no,490,yes,no,55
48,retired,married,primary,no,5173,yes,no,88
48,management,married,primary,no,5348,no,no,105
37,technician,married,secondary,no,603,no,no,339
36,services,single,secondary,no,755,no,no,355
47,services,divorced,secondary,no,829,no,yes,466
37,self-employed,married,secondary,no,2235,no,no,94
60,retired,married,primary,no,3,no,no,227
38,student,single,unknown,no,722,no,no,65
